0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
15,70,129,122,272,363,220,37,31,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0
5,44,97,81,236,367,228,43,30,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0
3,48,100,74,229,356,210,60,18,13,2,2,0,0,0,0,0,0,0,0,0,0,0,0
4,41,78,61,213,329,244,53,37,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
5,37,87,88,246,355,206,51,21,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
10,44,90,79,237,336,254,32,25,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0
5,50,96,72,217,347,209,55,31,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,45,122,90,258,326,229,50,23,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0
2,44,87,71,236,369,229,38,35,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,39,90,70,246,348,263,47,32,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12,50,101,86,241,350,251,43,23,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,58,98,87,229,354,252,57,31,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,25,77,65,222,358,256,64,40,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0
4,38,87,62,242,345,230,50,40,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0
5,24,74,73,203,315,230,61,35,9,2,2,0,1,1,0,0,0,0,0,0,0,0,0
2,25,56,48,174,300,273,66,40,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0
7,28,61,56,179,316,238,71,38,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,29,49,39,175,306,248,75,42,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,21,58,38,189,282,258,58,49,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2,24,52,55,175,296,273,60,42,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,19,67,55,210,339,273,48,36,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21,52,40,201,319,294,48,30,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0
5,24,85,57,225,360,229,52,28,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
6,22,67,64,195,343,266,49,32,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0
3,45,74,65,223,361,233,37,33,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
