0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
6,41,97,78,208,326,229,47,35,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0
9,48,100,98,226,306,236,41,40,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0
14,50,110,68,203,342,236,58,24,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,52,102,93,248,284,234,61,39,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
15,55,102,86,244,326,228,46,32,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0
9,45,90,76,237,283,243,63,38,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,45,96,76,221,337,236,53,28,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10,53,85,61,204,288,251,64,35,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,30,78,60,182,303,259,63,42,11,3,1,0,0,0,0,0,0,0,0,0,0,0,0
5,33,70,62,187,291,279,54,47,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0
8,23,64,51,174,271,257,58,39,11,5,1,0,1,0,0,0,0,0,0,0,0,0,0
2,22,56,67,164,263,283,59,47,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0
7,28,66,54,187,294,267,49,51,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0
7,38,89,67,205,294,228,44,32,12,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6,45,74,51,210,309,256,49,38,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0
7,39,89,76,204,311,245,46,40,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8,30,83,59,165,315,250,62,31,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,19,43,37,131,258,278,77,47,12,2,2,0,0,0,0,0,0,0,0,0,0,0,0
7,29,65,52,181,288,243,49,32,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
0,14,28,22,78,176,258,67,51,17,2,1,0,0,0,0,0,0,0,0,0,0,0,0
3,33,91,70,193,285,259,51,33,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,25,58,55,136,251,255,55,48,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,47,65,64,196,311,280,54,37,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,46,75,62,202,285,257,57,38,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0
7,33,76,65,222,308,260,49,34,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0
6,41,73,64,188,325,276,50,30,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0
6,47,90,68,212,321,248,67,39,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,39,100,70,201,302,273,59,35,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
5,28,87,63,171,287,285,65,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,35,72,71,188,283,250,59,35,9,4,1,3,1,0,0,0,0,0,0,0,0,0,0
6,29,76,66,214,319,266,48,38,13,0,2,2,0,0,0,0,0,0,0,0,0,0,0
6,60,99,65,222,340,254,73,42,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,58,95,80,224,324,253,49,35,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0
6,23,54,42,172,275,279,71,45,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9,34,84,81,210,325,254,58,40,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,53,95,71,215,331,232,48,37,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0
6,36,104,79,213,316,252,56,24,10,3,1,0,0,0,0,0,0,0,0,0,0,0,0
6,29,73,55,183,297,288,50,39,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,29,82,68,187,312,251,60,36,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0
4,41,69,52,178,302,245,53,47,14,4,0,0,1,0,0,0,0,0,0,0,0,0,0
7,38,81,52,211,322,250,64,29,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0
1,23,79,49,177,275,264,64,33,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
11,58,95,80,230,313,235,49,31,10,5,1,1,0,0,0,0,0,0,0,0,0,0,0
10,47,110,92,248,300,248,46,25,9,3,1,1,0,0,0,0,0,0,0,0,0,0,0
10,50,123,90,217,305,265,55,29,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,52,106,89,233,311,265,43,40,7,3,1,2,0,0,0,0,0,0,0,0,0,0,0
7,49,88,77,224,333,261,70,36,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
6,38,65,77,192,302,272,60,29,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,35,69,49,216,329,251,49,49,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
6,25,48,42,181,249,242,63,52,17,5,4,1,0,0,0,0,0,0,0,0,0,0,0
4,18,35,44,143,272,261,62,45,14,5,4,0,0,0,0,0,0,0,0,0,0,0,0
4,34,51,54,195,280,256,58,46,13,3,3,0,0,0,0,0,0,0,0,0,0,0,0
6,35,62,54,185,294,262,55,47,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0
10,31,75,60,203,285,281,78,45,11,3,2,1,0,0,0,0,0,0,0,0,0,0,0
10,43,97,72,220,327,231,39,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,56,124,85,223,318,230,59,42,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0
7,48,105,73,228,325,229,48,43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40,78,71,249,321,232,41,42,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0
13,42,100,68,243,320,205,58,39,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0
9,69,106,95,261,321,226,46,32,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
8,60,96,93,248,314,230,38,26,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0
10,47,104,80,219,294,238,46,34,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,56,92,82,247,322,237,56,40,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,50,82,83,235,309,247,59,26,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,40,97,67,207,298,240,60,45,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0
5,39,91,64,213,317,277,64,31,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
