0.405um,0.56um,0.83um,1.15um,1.5um,2um,2.65um,3.5um,4.6um,5.85um,7.25um,9um,11um,13um,15um,17um,19um,21um,23.5um,26.5um,29.5um,32.5um,35.5um,38.5um
7,38,83,66,177,298,269,59,34,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0
7,37,76,76,210,296,264,75,51,11,6,0,0,1,0,0,0,0,0,0,0,0,0,0
6,35,84,85,206,336,285,62,54,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
9,36,71,73,193,306,248,81,41,12,3,1,0,0,0,0,0,0,0,0,0,0,0,0
5,44,66,77,167,281,267,72,45,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,22,75,59,180,324,316,60,23,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,34,50,56,196,326,252,53,35,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0
7,40,68,59,187,252,261,64,52,8,5,0,1,1,0,0,0,0,0,0,0,0,0,0
6,34,59,74,194,287,274,53,48,6,10,0,0,1,0,0,0,0,0,0,0,0,0,0
5,28,86,82,168,288,272,57,34,8,5,2,1,0,0,0,0,0,0,0,0,0,0,0
8,37,72,59,183,287,257,60,35,7,4,4,1,0,1,0,0,0,0,0,0,0,0,0
3,30,74,77,178,298,271,55,35,7,4,2,1,0,0,0,0,0,0,0,0,0,0,0
8,28,58,63,170,295,267,65,44,16,6,2,1,0,0,0,0,0,0,0,0,0,0,0
4,11,28,20,104,156,260,70,52,23,10,2,0,1,0,0,0,0,0,0,0,0,0,0
3,4,19,20,78,160,290,84,58,15,4,3,1,0,0,0,0,0,0,0,0,0,0,0
5,29,68,61,176,271,263,59,52,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0
10,49,93,55,204,312,256,56,51,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
8,36,84,68,197,284,285,56,58,8,4,0,2,0,0,0,0,0,0,0,0,0,0,0
5,50,81,80,197,298,255,60,40,9,4,2,1,0,0,0,0,0,0,0,0,0,0,0
8,30,63,72,187,277,285,65,58,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
9,37,77,74,212,291,262,45,60,12,6,1,1,0,0,0,0,0,0,0,0,0,0,0
10,38,85,72,207,292,281,81,51,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0
6,36,72,75,200,284,273,53,44,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0
6,42,87,71,229,317,270,62,38,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0
2,45,88,75,191,301,258,51,33,13,3,1,1,0,0,0,0,0,0,0,0,0,0,0
9,34,78,63,218,334,248,60,44,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0
8,38,67,66,206,295,250,65,41,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0
3,41,93,67,200,299,259,51,55,10,3,1,0,1,0,0,0,0,0,0,0,0,0,0
4,41,89,58,219,296,258,59,37,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0
7,39,89,75,175,355,260,52,28,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0
2,38,68,47,206,302,272,60,48,11,5,1,0,0,0,0,0,0,0,0,0,0,0,0
3,17,44,30,125,223,301,76,50,19,6,3,0,0,0,0,0,0,0,0,0,1,0,0
3,26,41,48,155,245,277,66,54,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0
4,47,70,57,194,294,282,60,50,10,2,0,2,1,0,0,0,0,0,0,0,0,0,0
6,26,80,66,222,324,267,60,38,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,35,61,66,177,304,307,64,46,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0
5,32,64,62,191,279,281,82,41,20,4,1,1,0,0,0,0,0,0,0,0,0,0,0
10,37,66,60,197,256,314,65,57,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41,80,82,215,298,295,76,40,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,27,74,59,196,309,299,70,46,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
5,41,70,52,186,306,287,75,39,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,41,96,78,223,338,263,49,49,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
